aligned_dna_short_read_id	aligned_dna_short_read_file	md5sum	quality_issues	experiment_dna_short_read_id	reference_assembly	analysis_details	reference_assembly_details	alignment_software	reference_assembly_uri	mean_coverage	aligned_dna_short_read_index_file
PMGRC-100-101-3_LS4268816_SQ6048_1	gs://fc-secure-be182c9d-e20a-43aa-b158-39113ea47705/cram/PMGRC-100-101-3_LS4268816_SQ6048.cram	a08843b8b1dd26457b9c1990855c9136	NA	PMGRC-100-101-3_LS4268816_SQ6048	GRCh38	Raw reads were trimmed with fastp 0.23.2 and aligned to GRCh38 (no alts) with bwa 0.7.17. Duplicates were marked and removed with GATK 4.3.0 MarkDuplicates, and BQSR was applied. Mean depth was computed with somalier 0.2.16.	NA	bwa 0.7.17	NA	43.5	gs://fc-secure-be182c9d-e20a-43aa-b158-39113ea47705/cram/PMGRC-100-101-3_LS4268816_SQ6048.crai
PMGRC-101-101-0_LS4268818_SQ6050_1	gs://fc-secure-be182c9d-e20a-43aa-b158-39113ea47705/cram/PMGRC-101-101-0_LS4268818_SQ6050.cram	007bb415de0a480a86fd6f5f1c935ef7	NA	PMGRC-101-101-0_LS4268818_SQ6050	GRCh38	Raw reads were trimmed with fastp 0.23.2 and aligned to GRCh38 (no alts) with bwa 0.7.17. Duplicates were marked and removed with GATK 4.3.0 MarkDuplicates, and BQSR was applied. Mean depth was computed with somalier 0.2.16.	NA	bwa 0.7.17	NA	47	gs://fc-secure-be182c9d-e20a-43aa-b158-39113ea47705/cram/PMGRC-101-101-0_LS4268818_SQ6050.crai
PMGRC-129-129-0_LS4268781_SQ6085_1	gs://fc-secure-be182c9d-e20a-43aa-b158-39113ea47705/cram/PMGRC-129-129-0_LS4268781_SQ6085.cram	370f42c0affd8ce8802e44a954c61d43	NA	PMGRC-129-129-0_LS4268781_SQ6085	GRCh38	Raw reads were trimmed with fastp 0.23.2 and aligned to GRCh38 (no alts) with bwa 0.7.17. Duplicates were marked and removed with GATK 4.3.0 MarkDuplicates, and BQSR was applied. Mean depth was computed with somalier 0.2.16.	NA	bwa 0.7.17	NA	47	gs://fc-secure-be182c9d-e20a-43aa-b158-39113ea47705/cram/PMGRC-129-129-0_LS4268781_SQ6085.crai
PMGRC-136-136-0_LS4268788_SQ6092_1	gs://fc-secure-be182c9d-e20a-43aa-b158-39113ea47705/cram/PMGRC-136-136-0_LS4268788_SQ6092.cram	19e7fdec43de473d238175ef04306000	NA	PMGRC-136-136-0_LS4268788_SQ6092	GRCh38	Raw reads were trimmed with fastp 0.23.2 and aligned to GRCh38 (no alts) with bwa 0.7.17. Duplicates were marked and removed with GATK 4.3.0 MarkDuplicates, and BQSR was applied. Mean depth was computed with somalier 0.2.16.	NA	bwa 0.7.17	NA	42.8	gs://fc-secure-be182c9d-e20a-43aa-b158-39113ea47705/cram/PMGRC-136-136-0_LS4268788_SQ6092.crai
PMGRC-159-158-2_LS4268792_SQ6096_1	gs://fc-secure-be182c9d-e20a-43aa-b158-39113ea47705/cram/PMGRC-159-158-2_LS4268792_SQ6096.cram	55565900cff0325c0bd79a98083edb5b	NA	PMGRC-159-158-2_LS4268792_SQ6096	GRCh38	Raw reads were trimmed with fastp 0.23.2 and aligned to GRCh38 (no alts) with bwa 0.7.17. Duplicates were marked and removed with GATK 4.3.0 MarkDuplicates, and BQSR was applied. Mean depth was computed with somalier 0.2.16.	NA	bwa 0.7.17	NA	54.5	gs://fc-secure-be182c9d-e20a-43aa-b158-39113ea47705/cram/PMGRC-159-158-2_LS4268792_SQ6096.crai
PMGRC-178-178-0_LS4268812_SQ6044_1	gs://fc-secure-3cbd4d3d-7331-46f9-a98f-ebba0a894562/cram/PMGRC-178-178-0_LS4268812_SQ6044.cram	615fb1d2d88635b7461fd4c978bbc64a	NA	PMGRC-178-178-0_LS4268812_SQ6044	GRCh38	Raw reads were trimmed with fastp 0.23.2 and aligned to GRCh38 (no alts) with bwa 0.7.17. Duplicates were marked and removed with GATK 4.3.0 MarkDuplicates, and BQSR was applied. Mean depth was computed with somalier 0.2.16.	GRCh38, no alts	bwa 0.7.17	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/001/405/GCA_000001405.15_GRCh38/seqs_for_alignment_pipelines.ucsc_ids/GCA_000001405.15_GRCh38_no_alt_analysis_set.fna.gz	38.7	gs://fc-secure-3cbd4d3d-7331-46f9-a98f-ebba0a894562/cram/PMGRC-178-178-0_LS4268812_SQ6044.crai
PMGRC-179-178-2_LS4268811_SQ6043_1	gs://fc-secure-3cbd4d3d-7331-46f9-a98f-ebba0a894562/cram/PMGRC-179-178-2_LS4268811_SQ6043.cram	70754026de72938744accd00e32ea0dd	NA	PMGRC-179-178-2_LS4268811_SQ6043	GRCh38	Raw reads were trimmed with fastp 0.23.2 and aligned to GRCh38 (no alts) with bwa 0.7.17. Duplicates were marked and removed with GATK 4.3.0 MarkDuplicates, and BQSR was applied. Mean depth was computed with somalier 0.2.16.	GRCh38, no alts	bwa 0.7.17	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/001/405/GCA_000001405.15_GRCh38/seqs_for_alignment_pipelines.ucsc_ids/GCA_000001405.15_GRCh38_no_alt_analysis_set.fna.gz	39.2	gs://fc-secure-3cbd4d3d-7331-46f9-a98f-ebba0a894562/cram/PMGRC-179-178-2_LS4268811_SQ6043.crai
PMGRC-180-178-1_LS4268810_SQ6042_1	gs://fc-secure-3cbd4d3d-7331-46f9-a98f-ebba0a894562/cram/PMGRC-180-178-1_LS4268810_SQ6042.cram	19f4add867068bee89befdd359cf5b65	NA	PMGRC-180-178-1_LS4268810_SQ6042	GRCh38	Raw reads were trimmed with fastp 0.23.2 and aligned to GRCh38 (no alts) with bwa 0.7.17. Duplicates were marked and removed with GATK 4.3.0 MarkDuplicates, and BQSR was applied. Mean depth was computed with somalier 0.2.16.	GRCh38, no alts	bwa 0.7.17	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/001/405/GCA_000001405.15_GRCh38/seqs_for_alignment_pipelines.ucsc_ids/GCA_000001405.15_GRCh38_no_alt_analysis_set.fna.gz	38.5	gs://fc-secure-3cbd4d3d-7331-46f9-a98f-ebba0a894562/cram/PMGRC-180-178-1_LS4268810_SQ6042.crai
PMGRC-232-232-0_LS4268843_SQ6101_1	gs://fc-secure-be182c9d-e20a-43aa-b158-39113ea47705/cram/PMGRC-232-232-0_LS4268843_SQ6101.cram	5e234257e4baff81595499449435d031	NA	PMGRC-232-232-0_LS4268843_SQ6101	GRCh38	Raw reads were trimmed with fastp 0.23.2 and aligned to GRCh38 (no alts) with bwa 0.7.17. Duplicates were marked and removed with GATK 4.3.0 MarkDuplicates, and BQSR was applied. Mean depth was computed with somalier 0.2.16.	NA	bwa 0.7.17	NA	62	gs://fc-secure-be182c9d-e20a-43aa-b158-39113ea47705/cram/PMGRC-232-232-0_LS4268843_SQ6101.crai
PMGRC-250-251-3_LS4268789_SQ6093_1	gs://fc-secure-be182c9d-e20a-43aa-b158-39113ea47705/cram/PMGRC-250-251-3_LS4268789_SQ6093.cram	96baae0dd2af78a32ba6329ec2f453b2	NA	PMGRC-250-251-3_LS4268789_SQ6093	GRCh38	Raw reads were trimmed with fastp 0.23.2 and aligned to GRCh38 (no alts) with bwa 0.7.17. Duplicates were marked and removed with GATK 4.3.0 MarkDuplicates, and BQSR was applied. Mean depth was computed with somalier 0.2.16.	NA	bwa 0.7.17	NA	36.9	gs://fc-secure-be182c9d-e20a-43aa-b158-39113ea47705/cram/PMGRC-250-251-3_LS4268789_SQ6093.crai
