aligned_dna_short_read_set_id	aligned_dna_short_read_id
PMGRC-927-926-1_1	PMGRC-927-926-1_1
PMGRC-1003-1003-0_1	PMGRC-1003-1003-0_1
PMGRC-1083-1081-1_1	PMGRC-1083-1081-1_1
PMGRC-997-997-0_1	PMGRC-997-997-0_1
PMGRC-1018-1018-0_1	PMGRC-1018-1018-0_1
PMGRC-991-991-0_1	PMGRC-991-991-0_1
PMGRC-975-975-0_1	PMGRC-975-975-0_1
PMGRC-912-912-0_1	PMGRC-912-912-0_1
PMGRC-1100-1094-1_1	PMGRC-1100-1094-1_1
PMGRC-907-907-0_1	PMGRC-907-907-0_1
PMGRC-978-978-0_1	PMGRC-978-978-0_1
PMGRC-992-992-0_1	PMGRC-992-992-0_1
PMGRC-866-865-2_1	PMGRC-866-865-2_1
PMGRC-988-988-0_1	PMGRC-988-988-0_1
PMGRC-911-911-0_1	PMGRC-911-911-0_1
PMGRC-976-976-0_1	PMGRC-976-976-0_1
PMGRC-999-999-0_1	PMGRC-999-999-0_1
PMGRC-910-910-0_1	PMGRC-910-910-0_1
PMGRC-1082-1081-2_1	PMGRC-1082-1081-2_1
PMGRC-547-547-0_1	PMGRC-547-547-0_1
PMGRC-1033-1033-0_1	PMGRC-1033-1033-0_1
PMGRC-642-641-2_1	PMGRC-642-641-2_1
PMGRC-893-893-0_1	PMGRC-893-893-0_1
PMGRC-939-940-2_1	PMGRC-939-940-2_1
PMGRC-979-979-0_1	PMGRC-979-979-0_1
PMGRC-825-825-0_1	PMGRC-825-825-0_1
PMGRC-1028-1028-0_1	PMGRC-1028-1028-0_1
PMGRC-811-812-2_1	PMGRC-811-812-2_1
PMGRC-731-730-2_1	PMGRC-731-730-2_1
PMGRC-901-901-0_1	PMGRC-901-901-0_1
PMGRC-864-865-1_1	PMGRC-864-865-1_1
PMGRC-990-990-0_1	PMGRC-990-990-0_1
PMGRC-925-926-2_1	PMGRC-925-926-2_1
PMGRC-1029-1029-0_1	PMGRC-1029-1029-0_1
PMGRC-896-896-0_1	PMGRC-896-896-0_1
PMGRC-857-856-3_1	PMGRC-857-856-3_1
PMGRC-945-945-0_1	PMGRC-945-945-0_1
PMGRC-888-888-0_1	PMGRC-888-888-0_1
PMGRC-1089-1091-1_1	PMGRC-1089-1091-1_1
PMGRC-974-974-0_1	PMGRC-974-974-0_1
PMGRC-1091-1091-0_1	PMGRC-1091-1091-0_1
PMGRC-920-920-0_1	PMGRC-920-920-0_1
PMGRC-887-887-0_1	PMGRC-887-887-0_1
PMGRC-805-807-1_1	PMGRC-805-807-1_1
PMGRC-972-972-0_1	PMGRC-972-972-0_1
PMGRC-870-870-0_1	PMGRC-870-870-0_1
PMGRC-883-883-0_1	PMGRC-883-883-0_1
PMGRC-876-877-3_1	PMGRC-876-877-3_1
PMGRC-889-889-0_1	PMGRC-889-889-0_1
PMGRC-1024-1024-0_1	PMGRC-1024-1024-0_1
PMGRC-909-909-0_1	PMGRC-909-909-0_1
PMGRC-865-865-0_1	PMGRC-865-865-0_1
PMGRC-918-918-0_1	PMGRC-918-918-0_1
PMGRC-1045-1045-0_1	PMGRC-1045-1045-0_1
PMGRC-813-812-1_1	PMGRC-813-812-1_1
PMGRC-1001-1001-0_1	PMGRC-1001-1001-0_1
PMGRC-872-871-1_1	PMGRC-872-871-1_1
PMGRC-1022-1022-0_1	PMGRC-1022-1022-0_1
PMGRC-902-902-0_1	PMGRC-902-902-0_1
PMGRC-1060-801-2_1	PMGRC-1060-801-2_1
PMGRC-995-995-0_1	PMGRC-995-995-0_1
PMGRC-823-823-0_1	PMGRC-823-823-0_1
PMGRC-1041-1041-0_1	PMGRC-1041-1041-0_1
PMGRC-1101-1101-0_1	PMGRC-1101-1101-0_1
PMGRC-1051-1051-0_1	PMGRC-1051-1051-0_1
PMGRC-993-993-0_1	PMGRC-993-993-0_1
PMGRC-730-730-0_1	PMGRC-730-730-0_1
PMGRC-951-951-0_1	PMGRC-951-951-0_1
PMGRC-1036-1036-0_1	PMGRC-1036-1036-0_1
PMGRC-892-892-0_1	PMGRC-892-892-0_1
PMGRC-1006-1006-0_1	PMGRC-1006-1006-0_1
PMGRC-1066-1067-2_1	PMGRC-1066-1067-2_1
PMGRC-952-952-0_1	PMGRC-952-952-0_1
PMGRC-891-891-0_1	PMGRC-891-891-0_1
PMGRC-916-916-0_1	PMGRC-916-916-0_1
PMGRC-1050-1050-0_1	PMGRC-1050-1050-0_1
PMGRC-926-926-0_1	PMGRC-926-926-0_1
PMGRC-1093-1094-2_1	PMGRC-1093-1094-2_1
PMGRC-833-823-1_1	PMGRC-833-823-1_1
PMGRC-806-807-2_1	PMGRC-806-807-2_1
PMGRC-867-867-0_1	PMGRC-867-867-0_1
PMGRC-1085-1085-0_1	PMGRC-1085-1085-0_1
PMGRC-899-899-0_1	PMGRC-899-899-0_1
PMGRC-986-986-0_1	PMGRC-986-986-0_1
PMGRC-980-980-0_1	PMGRC-980-980-0_1
PMGRC-989-989-0_1	PMGRC-989-989-0_1
PMGRC-1014-1014-0_1	PMGRC-1014-1014-0_1
PMGRC-884-884-0_1	PMGRC-884-884-0_1
PMGRC-917-917-0_1	PMGRC-917-917-0_1
PMGRC-955-955-0_1	PMGRC-955-955-0_1
PMGRC-1078-1078-0_1	PMGRC-1078-1078-0_1
PMGRC-966-966-0_1	PMGRC-966-966-0_1
PMGRC-1020-1020-0_1	PMGRC-1020-1020-0_1
PMGRC-977-977-0_1	PMGRC-977-977-0_1
PMGRC-879-879-0_1	PMGRC-879-879-0_1
PMGRC-878-878-0_1	PMGRC-878-878-0_1
PMGRC-881-881-0_1	PMGRC-881-881-0_1
PMGRC-1039-1039-0_1	PMGRC-1039-1039-0_1
PMGRC-946-946-0_1	PMGRC-946-946-0_1
PMGRC-890-890-0_1	PMGRC-890-890-0_1
PMGRC-789-773-2_1	PMGRC-789-773-2_1
PMGRC-1011-1011-0_1	PMGRC-1011-1011-0_1
PMGRC-984-984-0_1	PMGRC-984-984-0_1
PMGRC-859-856-1_1	PMGRC-859-856-1_1
PMGRC-506-506-0_1	PMGRC-506-506-0_1
PMGRC-822-823-2_1	PMGRC-822-823-2_1
PMGRC-1032-1032-0_1	PMGRC-1032-1032-0_1
PMGRC-118-118-0_1	PMGRC-118-118-0_1
PMGRC-1090-1091-2_1	PMGRC-1090-1091-2_1
PMGRC-961-961-0_1	PMGRC-961-961-0_1
PMGRC-824-825-2_1	PMGRC-824-825-2_1
PMGRC-950-950-0_1	PMGRC-950-950-0_1
PMGRC-919-919-0_1	PMGRC-919-919-0_1
PMGRC-610-608-2_1	PMGRC-610-608-2_1
PMGRC-971-971-0_1	PMGRC-971-971-0_1
PMGRC-1019-1019-0_1	PMGRC-1019-1019-0_1
PMGRC-949-949-0_1	PMGRC-949-949-0_1
PMGRC-1049-1049-0_1	PMGRC-1049-1049-0_1
PMGRC-954-954-0_1	PMGRC-954-954-0_1
PMGRC-609-608-1_1	PMGRC-609-608-1_1
PMGRC-894-894-0_1	PMGRC-894-894-0_1
PMGRC-904-904-0_1	PMGRC-904-904-0_1
PMGRC-900-900-0_1	PMGRC-900-900-0_1
PMGRC-970-970-0_1	PMGRC-970-970-0_1
PMGRC-858-856-2_1	PMGRC-858-856-2_1
PMGRC-812-812-0_1	PMGRC-812-812-0_1
PMGRC-1025-1025-0_1	PMGRC-1025-1025-0_1
PMGRC-921-921-0_1	PMGRC-921-921-0_1
PMGRC-1079-1065-3_1	PMGRC-1079-1065-3_1
PMGRC-1099-1099-0_1	PMGRC-1099-1099-0_1
PMGRC-908-908-0_1	PMGRC-908-908-0_1
PMGRC-960-960-0_1	PMGRC-960-960-0_1
PMGRC-608-608-0_1	PMGRC-608-608-0_1
PMGRC-940-940-0_1	PMGRC-940-940-0_1
PMGRC-969-969-0_1	PMGRC-969-969-0_1
PMGRC-871-871-0_1	PMGRC-871-871-0_1
PMGRC-1103-1104-2_1	PMGRC-1103-1104-2_1
PMGRC-1016-1016-0_1	PMGRC-1016-1016-0_1
PMGRC-868-867-2_1	PMGRC-868-867-2_1
PMGRC-873-871-2_1	PMGRC-873-871-2_1
PMGRC-875-877-1_1	PMGRC-875-877-1_1
PMGRC-1030-1030-0_1	PMGRC-1030-1030-0_1
PMGRC-958-958-0_1	PMGRC-958-958-0_1
PMGRC-860-861-2_1	PMGRC-860-861-2_1
PMGRC-877-877-0_1	PMGRC-877-877-0_1
PMGRC-1034-1034-0_1	PMGRC-1034-1034-0_1
PMGRC-994-994-0_1	PMGRC-994-994-0_1
PMGRC-1035-1035-0_1	PMGRC-1035-1035-0_1
PMGRC-963-963-0_1	PMGRC-963-963-0_1
PMGRC-982-982-0_1	PMGRC-982-982-0_1
PMGRC-1000-1000-0_1	PMGRC-1000-1000-0_1
PMGRC-962-962-0_1	PMGRC-962-962-0_1
PMGRC-1042-1042-0_1	PMGRC-1042-1042-0_1
PMGRC-903-903-0_1	PMGRC-903-903-0_1
PMGRC-973-973-0_1	PMGRC-973-973-0_1
PMGRC-922-922-0_1	PMGRC-922-922-0_1
PMGRC-874-877-2_1	PMGRC-874-877-2_1
PMGRC-1046-1046-0_1	PMGRC-1046-1046-0_1
PMGRC-869-870-2_1	PMGRC-869-870-2_1
PMGRC-790-773-1_1	PMGRC-790-773-1_1
PMGRC-898-898-0_1	PMGRC-898-898-0_1
PMGRC-923-878-3_1	PMGRC-923-878-3_1
PMGRC-809-808-1_1	PMGRC-809-808-1_1
PMGRC-915-915-0_1	PMGRC-915-915-0_1
PMGRC-1065-1065-0_1	PMGRC-1065-1065-0_1
PMGRC-985-985-0_1	PMGRC-985-985-0_1
PMGRC-758-758-0_1	PMGRC-758-758-0_1
PMGRC-1081-1081-0_1	PMGRC-1081-1081-0_1
PMGRC-1057-940-1_1	PMGRC-1057-940-1_1
PMGRC-1097-1097-0_1	PMGRC-1097-1097-0_1
PMGRC-1048-1048-0_1	PMGRC-1048-1048-0_1
PMGRC-1031-1031-0_1	PMGRC-1031-1031-0_1
PMGRC-856-856-0_1	PMGRC-856-856-0_1
PMGRC-1056-1064-1_1	PMGRC-1056-1064-1_1
PMGRC-1068-1067-1_1	PMGRC-1068-1067-1_1
PMGRC-948-948-0_1	PMGRC-948-948-0_1
PMGRC-1012-1012-0_1	PMGRC-1012-1012-0_1
PMGRC-1074-1074-0_1	PMGRC-1074-1074-0_1
PMGRC-905-905-0_1	PMGRC-905-905-0_1
PMGRC-1010-1010-0_1	PMGRC-1010-1010-0_1
PMGRC-897-897-0_1	PMGRC-897-897-0_1
PMGRC-643-641-1_1	PMGRC-643-641-1_1
PMGRC-1098-1097-2_1	PMGRC-1098-1097-2_1
PMGRC-968-968-0_1	PMGRC-968-968-0_1
PMGRC-886-886-0_1	PMGRC-886-886-0_1
PMGRC-1061-801-1_1	PMGRC-1061-801-1_1
PMGRC-1084-1085-2_1	PMGRC-1084-1085-2_1
PMGRC-1027-1027-0_1	PMGRC-1027-1027-0_1
PMGRC-965-965-0_1	PMGRC-965-965-0_1
PMGRC-1026-1026-0_1	PMGRC-1026-1026-0_1
PMGRC-1059-801-3_1	PMGRC-1059-801-3_1
PMGRC-280-280-0_1	PMGRC-280-280-0_1
PMGRC-1077-1078-2_1	PMGRC-1077-1078-2_1
PMGRC-880-880-0_1	PMGRC-880-880-0_1
PMGRC-914-914-0_1	PMGRC-914-914-0_1
PMGRC-1021-1021-0_1	PMGRC-1021-1021-0_1
PMGRC-987-987-0_1	PMGRC-987-987-0_1
PMGRC-641-641-0_1	PMGRC-641-641-0_1
PMGRC-983-983-0_1	PMGRC-983-983-0_1
PMGRC-981-981-0_1	PMGRC-981-981-0_1
PMGRC-944-944-0_1	PMGRC-944-944-0_1
PMGRC-1076-1065-3_1	PMGRC-1076-1065-3_1
PMGRC-906-906-0_1	PMGRC-906-906-0_1
PMGRC-1004-1004-0_1	PMGRC-1004-1004-0_1
PMGRC-1104-1104-0_1	PMGRC-1104-1104-0_1
PMGRC-1040-1040-0_1	PMGRC-1040-1040-0_1
PMGRC-1038-1038-0_1	PMGRC-1038-1038-0_1
PMGRC-1013-1013-0_1	PMGRC-1013-1013-0_1
PMGRC-913-913-0_1	PMGRC-913-913-0_1
PMGRC-1080-1065-1_1	PMGRC-1080-1065-1_1
PMGRC-810-808-2_1	PMGRC-810-808-2_1
PMGRC-996-996-0_1	PMGRC-996-996-0_1
PMGRC-934-935-2_1	PMGRC-934-935-2_1
PMGRC-1047-1047-0_1	PMGRC-1047-1047-0_1
PMGRC-835-825-1_1	PMGRC-835-825-1_1
PMGRC-935-935-0_1	PMGRC-935-935-0_1
PMGRC-1067-1067-0_1	PMGRC-1067-1067-0_1
PMGRC-861-861-0_1	PMGRC-861-861-0_1
PMGRC-1075-1065-2_1	PMGRC-1075-1065-2_1
PMGRC-1037-1037-0_1	PMGRC-1037-1037-0_1
PMGRC-1094-1094-0_1	PMGRC-1094-1094-0_1
PMGRC-1015-1015-0_1	PMGRC-1015-1015-0_1
