aligned_rna_short_read_id	aligned_rna_short_read_index_file	alignment_log_file	mean_coverage	reference_assembly	gene_annotation_details	reference_assembly_details	percent_multimapped	alignment_software	experiment_rna_short_read_id	gene_annotation	md5sum	percent_uniquely_aligned	quality_issues	reference_assembly_uri	aligned_rna_short_read_file	percent_unaligned	alignment_postprocessing
PMGRC-88-88-0_LS4339048_SQ11652_RNA	gs://fc-secure-3cbd4d3d-7331-46f9-a98f-ebba0a894562/RNA/PMGRC-88-88-0_LS4339048_SQ11652_RNA.cram.crai	NA	NA	GRCh38	gencode_comprehensive_chr	NA	NA	STARv2.7.10a	CNH_I_SQ11652	GENCODEv41	5111309c132bb959559e30daa7a60ccc	NA	NA	http://ftp.1000genomes.ebi.ac.uk/vol1/ftp/technical/reference/GRCh38_reference_genome/GRCh38_full_analysis_set_plus_decoy_hla.fa	gs://fc-secure-3cbd4d3d-7331-46f9-a98f-ebba0a894562/RNA/PMGRC-88-88-0_LS4339048_SQ11652_RNA.cram	NA	NA
PMGRC-127-125-1_LS4339049_SQ11653_RNA	gs://fc-secure-3cbd4d3d-7331-46f9-a98f-ebba0a894562/RNA/PMGRC-127-125-1_LS4339049_SQ11653_RNA.cram.crai	NA	NA	GRCh38	gencode_comprehensive_chr	NA	NA	STARv2.7.10a	CNH_I_SQ11653	GENCODEv41	84abb4401671bab44156eaecbc88781c	NA	NA	http://ftp.1000genomes.ebi.ac.uk/vol1/ftp/technical/reference/GRCh38_reference_genome/GRCh38_full_analysis_set_plus_decoy_hla.fa	gs://fc-secure-3cbd4d3d-7331-46f9-a98f-ebba0a894562/RNA/PMGRC-127-125-1_LS4339049_SQ11653_RNA.cram	NA	NA
PMGRC-116-116-0_LS4339050_SQ11654_RNA	gs://fc-secure-3cbd4d3d-7331-46f9-a98f-ebba0a894562/RNA/PMGRC-116-116-0_LS4339050_SQ11654_RNA.cram.crai	NA	NA	GRCh38	gencode_comprehensive_chr	NA	NA	STARv2.7.10a	CNH_I_SQ11654	GENCODEv41	72ff6a1ec1943cc5af7c6c2dad989972	NA	NA	http://ftp.1000genomes.ebi.ac.uk/vol1/ftp/technical/reference/GRCh38_reference_genome/GRCh38_full_analysis_set_plus_decoy_hla.fa	gs://fc-secure-3cbd4d3d-7331-46f9-a98f-ebba0a894562/RNA/PMGRC-116-116-0_LS4339050_SQ11654_RNA.cram	NA	NA
PMGRC-11-11-0_LS4339051_SQ11655_RNA	gs://fc-secure-3cbd4d3d-7331-46f9-a98f-ebba0a894562/RNA/PMGRC-11-11-0_LS4339051_SQ11655_RNA.cram.crai	NA	NA	GRCh38	gencode_comprehensive_chr	NA	NA	STARv2.7.10a	CNH_I_SQ11655	GENCODEv41	994659bf654535a5ceca243658a87141	NA	NA	http://ftp.1000genomes.ebi.ac.uk/vol1/ftp/technical/reference/GRCh38_reference_genome/GRCh38_full_analysis_set_plus_decoy_hla.fa	gs://fc-secure-3cbd4d3d-7331-46f9-a98f-ebba0a894562/RNA/PMGRC-11-11-0_LS4339051_SQ11655_RNA.cram	NA	NA
PMGRC-130-130-0_LS4339052_SQ11656_RNA	gs://fc-secure-3cbd4d3d-7331-46f9-a98f-ebba0a894562/RNA/PMGRC-130-130-0_LS4339052_SQ11656_RNA.cram.crai	NA	NA	GRCh38	gencode_comprehensive_chr	NA	NA	STARv2.7.10a	CNH_I_SQ11656	GENCODEv41	eb210d165c2b7b653a5b2457500dc9c9	NA	NA	http://ftp.1000genomes.ebi.ac.uk/vol1/ftp/technical/reference/GRCh38_reference_genome/GRCh38_full_analysis_set_plus_decoy_hla.fa	gs://fc-secure-3cbd4d3d-7331-46f9-a98f-ebba0a894562/RNA/PMGRC-130-130-0_LS4339052_SQ11656_RNA.cram	NA	NA
PMGRC-131-131-0_LS4339053_SQ11657_RNA	gs://fc-secure-3cbd4d3d-7331-46f9-a98f-ebba0a894562/RNA/PMGRC-131-131-0_LS4339053_SQ11657_RNA.cram.crai	NA	NA	GRCh38	gencode_comprehensive_chr	NA	NA	STARv2.7.10a	CNH_I_SQ11657	GENCODEv41	216738343f5a8102364465ab05f6f48f	NA	NA	http://ftp.1000genomes.ebi.ac.uk/vol1/ftp/technical/reference/GRCh38_reference_genome/GRCh38_full_analysis_set_plus_decoy_hla.fa	gs://fc-secure-3cbd4d3d-7331-46f9-a98f-ebba0a894562/RNA/PMGRC-131-131-0_LS4339053_SQ11657_RNA.cram	NA	NA
PMGRC-149-148-2_LS4339054_SQ11658_RNA	gs://fc-secure-3cbd4d3d-7331-46f9-a98f-ebba0a894562/RNA/PMGRC-149-148-2_LS4339054_SQ11658_RNA.cram.crai	NA	NA	GRCh38	gencode_comprehensive_chr	NA	NA	STARv2.7.10a	CNH_I_SQ11658	GENCODEv41	d0c82ea607d4181563b607a5dc6cc9d4	NA	NA	http://ftp.1000genomes.ebi.ac.uk/vol1/ftp/technical/reference/GRCh38_reference_genome/GRCh38_full_analysis_set_plus_decoy_hla.fa	gs://fc-secure-3cbd4d3d-7331-46f9-a98f-ebba0a894562/RNA/PMGRC-149-148-2_LS4339054_SQ11658_RNA.cram	NA	NA
PMGRC-150-148-1_LS4339055_SQ11659_RNA	gs://fc-secure-3cbd4d3d-7331-46f9-a98f-ebba0a894562/RNA/PMGRC-150-148-1_LS4339055_SQ11659_RNA.cram.crai	NA	NA	GRCh38	gencode_comprehensive_chr	NA	NA	STARv2.7.10a	CNH_I_SQ11659	GENCODEv41	940c2a83e389e3941028966fad2fc5af	NA	NA	http://ftp.1000genomes.ebi.ac.uk/vol1/ftp/technical/reference/GRCh38_reference_genome/GRCh38_full_analysis_set_plus_decoy_hla.fa	gs://fc-secure-3cbd4d3d-7331-46f9-a98f-ebba0a894562/RNA/PMGRC-150-148-1_LS4339055_SQ11659_RNA.cram	NA	NA
PMGRC-148-148-0_LS4339056_SQ11660_RNA	gs://fc-secure-3cbd4d3d-7331-46f9-a98f-ebba0a894562/RNA/PMGRC-148-148-0_LS4339056_SQ11660_RNA.cram.crai	NA	NA	GRCh38	gencode_comprehensive_chr	NA	NA	STARv2.7.10a	CNH_I_SQ11660	GENCODEv41	c50f7b8b011e31644d2840b5fe77eaf7	NA	NA	http://ftp.1000genomes.ebi.ac.uk/vol1/ftp/technical/reference/GRCh38_reference_genome/GRCh38_full_analysis_set_plus_decoy_hla.fa	gs://fc-secure-3cbd4d3d-7331-46f9-a98f-ebba0a894562/RNA/PMGRC-148-148-0_LS4339056_SQ11660_RNA.cram	NA	NA
PMGRC-168-167-2_LS4339057_SQ11661_RNA	gs://fc-secure-3cbd4d3d-7331-46f9-a98f-ebba0a894562/RNA/PMGRC-168-167-2_LS4339057_SQ11661_RNA.cram.crai	NA	NA	GRCh38	gencode_comprehensive_chr	NA	NA	STARv2.7.10a	CNH_I_SQ11661	GENCODEv41	731db962dd72ddd86f0c5a7b716dc78d	NA	NA	http://ftp.1000genomes.ebi.ac.uk/vol1/ftp/technical/reference/GRCh38_reference_genome/GRCh38_full_analysis_set_plus_decoy_hla.fa	gs://fc-secure-3cbd4d3d-7331-46f9-a98f-ebba0a894562/RNA/PMGRC-168-167-2_LS4339057_SQ11661_RNA.cram	NA	NA
