experiment_dna_short_read_id	read_length	target_insert_size	sequencing_platform	targeted_region_bed_file	targeted_regions_method	seq_library_prep_kit_method	date_data_generation	analyte_id	experiment_sample_id	sequencing_event_details	experiment_type
PMGRC-100-101-3_LS4268816_SQ6048	150	350	NovaSeq	NA	NA	IDT xGen DNA EZ library preparation, Custom 2S Turbo for Invitae	NA	LS4268816	PMGRC-100-101-3_LS4268816_SQ6048	NA	genome
PMGRC-101-101-0_LS4268818_SQ6050	150	350	NovaSeq	NA	NA	IDT xGen DNA EZ library preparation, Custom 2S Turbo for Invitae	NA	LS4268818	PMGRC-101-101-0_LS4268818_SQ6050	NA	genome
PMGRC-129-129-0_LS4268781_SQ6085	150	350	NovaSeq	NA	NA	IDT xGen DNA EZ library preparation, Custom 2S Turbo for Invitae	NA	LS4268781	PMGRC-129-129-0_LS4268781_SQ6085	NA	genome
PMGRC-136-136-0_LS4268788_SQ6092	150	350	NovaSeq	NA	NA	IDT xGen DNA EZ library preparation, Custom 2S Turbo for Invitae	NA	LS4268788	PMGRC-136-136-0_LS4268788_SQ6092	NA	genome
PMGRC-159-158-2_LS4268792_SQ6096	150	350	NovaSeq	NA	NA	IDT xGen DNA EZ library preparation, Custom 2S Turbo for Invitae	NA	LS4268792	PMGRC-159-158-2_LS4268792_SQ6096	NA	genome
PMGRC-178-178-0_LS4268812_SQ6044	150	350	NovaSeq	NA	NA	IDT xGen DNA EZ library preparation, Custom 2S Turbo for Invitae	2022-12-29	LS4268812	PMGRC-178-178-0_LS4268812_SQ6044	NA	genome
PMGRC-179-178-2_LS4268811_SQ6043	150	350	NovaSeq	NA	NA	IDT xGen DNA EZ library preparation, Custom 2S Turbo for Invitae	2022-12-29	LS4268811	PMGRC-179-178-2_LS4268811_SQ6043	NA	genome
PMGRC-180-178-1_LS4268810_SQ6042	150	350	NovaSeq	NA	NA	IDT xGen DNA EZ library preparation, Custom 2S Turbo for Invitae	2022-12-29	LS4268810	PMGRC-180-178-1_LS4268810_SQ6042	NA	genome
PMGRC-232-232-0_LS4268843_SQ6101	150	350	NovaSeq	NA	NA	IDT xGen DNA EZ library preparation, Custom 2S Turbo for Invitae	NA	LS4268843	PMGRC-232-232-0_LS4268843_SQ6101	NA	genome
PMGRC-250-251-3_LS4268789_SQ6093	150	350	NovaSeq	NA	NA	IDT xGen DNA EZ library preparation, Custom 2S Turbo for Invitae	NA	LS4268789	PMGRC-250-251-3_LS4268789_SQ6093	NA	genome
PMGRC-251-251-0_LS4268790_SQ6094	150	350	NovaSeq	NA	NA	IDT xGen DNA EZ library preparation, Custom 2S Turbo for Invitae	NA	LS4268790	PMGRC-251-251-0_LS4268790_SQ6094	NA	genome
PMGRC-266-266-0_LS4268840_SQ6098	150	350	NovaSeq	NA	NA	IDT xGen DNA EZ library preparation, Custom 2S Turbo for Invitae	NA	LS4268840	PMGRC-266-266-0_LS4268840_SQ6098	NA	genome
PMGRC-268-266-1_LS4268839_SQ6097	150	350	NovaSeq	NA	NA	IDT xGen DNA EZ library preparation, Custom 2S Turbo for Invitae	NA	LS4268839	PMGRC-268-266-1_LS4268839_SQ6097	NA	genome
PMGRC-281-281-0_LS4268806_SQ6038	150	350	NovaSeq	NA	NA	IDT xGen DNA EZ library preparation, Custom 2S Turbo for Invitae	NA	LS4268806	PMGRC-281-281-0_LS4268806_SQ6038	NA	genome
PMGRC-315-316-3_LS4268791_SQ6095	150	350	NovaSeq	NA	NA	IDT xGen DNA EZ library preparation, Custom 2S Turbo for Invitae	NA	LS4268791	PMGRC-315-316-3_LS4268791_SQ6095	NA	genome
PMGRC-375-375-0_LS4268844_SQ6102	150	350	NovaSeq	NA	NA	IDT xGen DNA EZ library preparation, Custom 2S Turbo for Invitae	NA	LS4268844	PMGRC-375-375-0_LS4268844_SQ6102	NA	genome
PMGRC-403-403-0_LS4268782_SQ6086	150	350	NovaSeq	NA	NA	IDT xGen DNA EZ library preparation, Custom 2S Turbo for Invitae	NA	LS4268782	PMGRC-403-403-0_LS4268782_SQ6086	NA	genome
PMGRC-405-403-2_LS4268783_SQ6087	150	350	NovaSeq	NA	NA	IDT xGen DNA EZ library preparation, Custom 2S Turbo for Invitae	NA	LS4268783	PMGRC-405-403-2_LS4268783_SQ6087	NA	genome
PMGRC-422-421-2_LS4268852_SQ6062	150	350	NovaSeq	NA	NA	IDT xGen DNA EZ library preparation, Custom 2S Turbo for Invitae	NA	LS4268852	PMGRC-422-421-2_LS4268852_SQ6062	NA	genome
PMGRC-459-459-0_LS4268785_SQ6089	150	350	NovaSeq	NA	NA	IDT xGen DNA EZ library preparation, Custom 2S Turbo for Invitae	2023-01-06	LS4268785	PMGRC-459-459-0_LS4268785_SQ6089	NA	genome
PMGRC-460-459-2_LS4268787_SQ6091	150	350	NovaSeq	NA	NA	IDT xGen DNA EZ library preparation, Custom 2S Turbo for Invitae	2023-01-06	LS4268787	PMGRC-460-459-2_LS4268787_SQ6091	NA	genome
PMGRC-461-459-1_LS4268786_SQ6090	150	350	NovaSeq	NA	NA	IDT xGen DNA EZ library preparation, Custom 2S Turbo for Invitae	2023-01-06	LS4268786	PMGRC-461-459-1_LS4268786_SQ6090	NA	genome
PMGRC-467-467-0_LS4268842_SQ6100	150	350	NovaSeq	NA	NA	IDT xGen DNA EZ library preparation, Custom 2S Turbo for Invitae	NA	LS4268842	PMGRC-467-467-0_LS4268842_SQ6100	NA	genome
PMGRC-470-467-1_LS4268841_SQ6099	150	350	NovaSeq	NA	NA	IDT xGen DNA EZ library preparation, Custom 2S Turbo for Invitae	NA	LS4268841	PMGRC-470-467-1_LS4268841_SQ6099	NA	genome
PMGRC-477-477-0_LS4268851_SQ6061	150	350	NovaSeq	NA	NA	IDT xGen DNA EZ library preparation, Custom 2S Turbo for Invitae	NA	LS4268851	PMGRC-477-477-0_LS4268851_SQ6061	NA	genome
PMGRC-485-485-0_LS4429501_SQ6064	150	350	NovaSeq	NA	NA	IDT xGen DNA EZ library preparation, Custom 2S Turbo for Invitae	2023-01-13	LS4429501	PMGRC-485-485-0_LS4429501_SQ6064	NA	genome
PMGRC-486-485-2_LS4429502_SQ6065	150	350	NovaSeq	NA	NA	IDT xGen DNA EZ library preparation, Custom 2S Turbo for Invitae	2023-01-13	LS4429502	PMGRC-486-485-2_LS4429502_SQ6065	NA	genome
PMGRC-487-485-1_LS4429503_SQ6066	150	350	NovaSeq	NA	NA	IDT xGen DNA EZ library preparation, Custom 2S Turbo for Invitae	2023-01-13	LS4429503	PMGRC-487-485-1_LS4429503_SQ6066	NA	genome
PMGRC-509-509-0_LS4429497_SQ6054	150	350	NovaSeq	NA	NA	IDT xGen DNA EZ library preparation, Custom 2S Turbo for Invitae	2022-12-29	LS4429497	PMGRC-509-509-0_LS4429497_SQ6054	NA	genome
PMGRC-510-509-2_LS4429496_SQ6053	150	350	NovaSeq	NA	NA	IDT xGen DNA EZ library preparation, Custom 2S Turbo for Invitae	2022-12-29	LS4429496	PMGRC-510-509-2_LS4429496_SQ6053	NA	genome
PMGRC-511-509-1_LS4429495_SQ6052	150	350	NovaSeq	NA	NA	IDT xGen DNA EZ library preparation, Custom 2S Turbo for Invitae	2022-12-29	LS4429495	PMGRC-511-509-1_LS4429495_SQ6052	NA	genome
PMGRC-513-512-2_LS4268813_SQ6045	150	350	NovaSeq	NA	NA	IDT xGen DNA EZ library preparation, Custom 2S Turbo for Invitae	NA	LS4268813	PMGRC-513-512-2_LS4268813_SQ6045	NA	genome
PMGRC-523-281-2_LS4268805_SQ6037	150	350	NovaSeq	NA	NA	IDT xGen DNA EZ library preparation, Custom 2S Turbo for Invitae	NA	LS4268805	PMGRC-523-281-2_LS4268805_SQ6037	NA	genome
PMGRC-524-525-2_LS4429510_SQ6072	150	350	NovaSeq	NA	NA	IDT xGen DNA EZ library preparation, Custom 2S Turbo for Invitae	NA	LS4429510	PMGRC-524-525-2_LS4429510_SQ6072	NA	genome
PMGRC-525-525-0_LS4429498_SQ6055	150	350	NovaSeq	NA	NA	IDT xGen DNA EZ library preparation, Custom 2S Turbo for Invitae	NA	LS4429498	PMGRC-525-525-0_LS4429498_SQ6055	NA	genome
PMGRC-526-525-3_LS4429500_SQ6063	150	350	NovaSeq	NA	NA	IDT xGen DNA EZ library preparation, Custom 2S Turbo for Invitae	NA	LS4429500	PMGRC-526-525-3_LS4429500_SQ6063	NA	genome
PMGRC-527-522-1_LS4268807_SQ6039	150	350	NovaSeq	NA	NA	IDT xGen DNA EZ library preparation, Custom 2S Turbo for Invitae	NA	LS4268807	PMGRC-527-522-1_LS4268807_SQ6039	NA	genome
PMGRC-528-525-1_LS4429494_SQ6051	150	350	NovaSeq	NA	NA	IDT xGen DNA EZ library preparation, Custom 2S Turbo for Invitae	NA	LS4429494	PMGRC-528-525-1_LS4429494_SQ6051	NA	genome
PMGRC-538-538-0_LS4268809_SQ6041	150	350	NovaSeq	NA	NA	IDT xGen DNA EZ library preparation, Custom 2S Turbo for Invitae	NA	LS4268809	PMGRC-538-538-0_LS4268809_SQ6041	NA	genome
PMGRC-539-538-2_LS4268808_SQ6040	150	350	NovaSeq	NA	NA	IDT xGen DNA EZ library preparation, Custom 2S Turbo for Invitae	NA	LS4268808	PMGRC-539-538-2_LS4268808_SQ6040	NA	genome
PMGRC-543-543-0_LS4268814_SQ6046	150	350	NovaSeq	NA	NA	IDT xGen DNA EZ library preparation, Custom 2S Turbo for Invitae	NA	LS4268814	PMGRC-543-543-0_LS4268814_SQ6046	NA	genome
PMGRC-544-543-2_LS4268815_SQ6047	150	350	NovaSeq	NA	NA	IDT xGen DNA EZ library preparation, Custom 2S Turbo for Invitae	NA	LS4268815	PMGRC-544-543-2_LS4268815_SQ6047	NA	genome
PMGRC-562-562-0_LS4429509_SQ6071	150	350	NovaSeq	NA	NA	IDT xGen DNA EZ library preparation, Custom 2S Turbo for Invitae	NA	LS4429509	PMGRC-562-562-0_LS4429509_SQ6071	NA	genome
