experiment_rna_short_read_id	percent_mtRNA	library_prep_type	percent_Globin	experiment_type	seq_library_prep_kit_method	date_data_generation	percent_chrX_Y	percent_UMI	single_or_paired_ends	estimated_library_size	read_length	percent_rRNA	sequencing_platform	5prime3prime_bias	RIN	analyte_id	total_reads	experiment_sample_id	percent_mRNA	within_site_batch_name	percent_GC
CNH_I_SQ11652	NA	rRNA depletion|globin depletion	NA	paired-end|untargeted	Watchmaker ribosomal and globin depletion	2022-12-02	NA	NA	paired-end	NA	150	NA	NovaSeq	NA	8	LS4339048	194970644	LS4339048_SQ11652	NA	RNA 1A	NA
CNH_I_SQ11653	NA	rRNA depletion|globin depletion	NA	paired-end|untargeted	Watchmaker ribosomal and globin depletion	2022-12-02	NA	NA	paired-end	NA	150	NA	NovaSeq	NA	7.8	LS4339049	228544087	LS4339049_SQ11653	NA	RNA 1A	NA
CNH_I_SQ11654	NA	rRNA depletion|globin depletion	NA	paired-end|untargeted	Watchmaker ribosomal and globin depletion	2022-12-02	NA	NA	paired-end	NA	150	NA	NovaSeq	NA	7.5	LS4339050	264426550	LS4339050_SQ11654	NA	RNA 1A	NA
CNH_I_SQ11655	NA	rRNA depletion|globin depletion	NA	paired-end|untargeted	Watchmaker ribosomal and globin depletion	2022-12-02	NA	NA	paired-end	NA	150	NA	NovaSeq	NA	8.3	LS4339051	213070843	LS4339051_SQ11655	NA	RNA 1A	NA
CNH_I_SQ11656	NA	rRNA depletion|globin depletion	NA	paired-end|untargeted	Watchmaker ribosomal and globin depletion	2022-12-02	NA	NA	paired-end	NA	150	NA	NovaSeq	NA	7.7	LS4339052	223184933	LS4339052_SQ11656	NA	RNA 1A	NA
CNH_I_SQ11657	NA	rRNA depletion|globin depletion	NA	paired-end|untargeted	Watchmaker ribosomal and globin depletion	2022-12-02	NA	NA	paired-end	NA	150	NA	NovaSeq	NA	8.3	LS4339053	272178989	LS4339053_SQ11657	NA	RNA 1A	NA
CNH_I_SQ11658	NA	rRNA depletion|globin depletion	NA	paired-end|untargeted	Watchmaker ribosomal and globin depletion	2022-12-02	NA	NA	paired-end	NA	150	NA	NovaSeq	NA	8.3	LS4339054	247942182	LS4339054_SQ11658	NA	RNA 1A	NA
CNH_I_SQ11659	NA	rRNA depletion|globin depletion	NA	paired-end|untargeted	Watchmaker ribosomal and globin depletion	2022-12-02	NA	NA	paired-end	NA	150	NA	NovaSeq	NA	7.7	LS4339055	300688470	LS4339055_SQ11659	NA	RNA 1A	NA
CNH_I_SQ11660	NA	rRNA depletion|globin depletion	NA	paired-end|untargeted	Watchmaker ribosomal and globin depletion	2022-12-02	NA	NA	paired-end	NA	150	NA	NovaSeq	NA	8.1	LS4339056	229268117	LS4339056_SQ11660	NA	RNA 1A	NA
CNH_I_SQ11661	NA	rRNA depletion|globin depletion	NA	paired-end|untargeted	Watchmaker ribosomal and globin depletion	2022-12-02	NA	NA	paired-end	NA	150	NA	NovaSeq	NA	7.9	LS4339057	247818916	LS4339057_SQ11661	NA	RNA 1A	NA
